solvent,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,alpha
1-bromopropane,3.248264,1.131944,3.248264,1.131944,0.465988,122.993,115.937,121.9731,26,0,0.002863,-0.09282,0.092819,0.002863,1.75,2,2,79.91873,10.59366,1.582145,-1.65537,1.799762,-1.53933,9.08886,1.118197,1.974745,5.245112,3.414214,2.792178,4.378175,1.914214,1.474368,2.595837,0.688982,1.481981,0.188982,0.981981,0,0,0.48,6.854753,4.48,3.48,2.48,35.33668,0,0,0,0,0,0,0,0,0,0,22.85368,6.420822,5.33009,0,0,15.92994,0,0,0,13.34456,5.33009,0,0,0,0,0,0,15.92994,5.33009,0,0,13.34456,0,0,0,0,0,0,0,0,0,0,5.33009,6.420822,0,0,22.85368,0,0,3.248264,0,1.131944,0,0,0,1.236111,2.133681,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.7913,24.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-butanol,8.06625,0.34375,8.06625,0.34375,0.512822,74.123,64.043,74.07316,32,0,0.043042,-0.39638,0.396377,0.043042,1.6,2.2,2.2,16.24991,10.36642,1.687587,-1.7897,1.784058,-1.74877,4.227733,0.286784,2.19061,11.11942,4.12132,3.568534,3.568534,2.414214,2.023335,2.023335,1.07716,1.07716,0.511667,0.511667,0.158114,0.158114,-0.04,11.24511,4.96,3.96,3.96,32.62831,5.106527,0,0,0,0,0,0,0,0,0,13.34456,6.420822,6.606882,0,5.106527,0,0,0,0,19.76538,6.606882,0,0,0,0,0,0,0,11.71341,0,0,19.76538,0,0,0,0,20.23,0,0,0,0,6.606882,12.84164,0,0,0,6.923737,5.106527,0,0,0,8.06625,0,0,0,2.038194,2.395556,0,1,5,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0.7788,21.9938,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
1-chlorohexane,5.437266,0.833333,5.437266,0.833333,0.39548,120.623,107.519,120.0706,44,0,0.022296,-0.12672,0.126717,0.022296,1.142857,1.857143,2.285714,35.49566,10.20768,1.807646,-1.89166,1.982199,-1.73776,6.173401,0.704769,2.447473,23.36099,5.535534,4.913498,5.669427,3.414214,2.974368,3.508891,1.749642,2.127607,0.987184,1.254445,0.521268,0.71025,0.29,35.50961,7.29,6.29,6.29,50.86723,0,0,0,0,0,0,0,0,0,11.60094,26.1862,6.420822,5.880003,0,0,11.60094,0,0,0,32.60702,5.880003,0,0,0,0,0,0,11.60094,5.880003,0,0,32.60702,0,0,0,0,0,0,0,0,0,0,5.880003,25.68329,0,0,6.923737,11.60094,0,5.437266,0,0,0,0.833333,0,5.137901,2.202611,0,1,7,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2.8055,34.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1-chloropentane,5.380293,0.827222,5.380293,0.827222,0.382995,106.596,95.508,106.0549,38,0,0.022295,-0.12672,0.126717,0.022295,1.333333,2,2.166667,35.49566,10.27631,1.764047,-1.84304,1.932384,-1.70289,6.173397,0.775989,2.339092,15.90013,4.828427,4.206392,4.962321,2.914214,2.474368,3.008891,1.396089,1.774053,0.737184,1.004445,0.344491,0.533473,0.29,20.9863,6.29,5.29,4.29,44.50229,0,0,0,0,0,0,0,0,0,11.60094,19.76538,6.420822,5.880003,0,0,11.60094,0,0,0,26.1862,5.880003,0,0,0,0,0,0,11.60094,5.880003,0,0,26.1862,0,0,0,0,0,0,0,0,0,0,5.880003,19.26246,0,0,6.923737,11.60094,0,5.380293,0,0,0,0.827222,0,3.730432,2.173164,0,1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2.4154,30.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1-chloropropane,5.185957,0.791667,5.185957,0.791667,0.418436,78.542,71.486,78.02363,26,0,0.022033,-0.12673,0.126728,0.022033,1.75,2,2,35.49566,10.58706,1.586344,-1.65218,1.753287,-1.55199,6.17317,1.099065,1.974745,5.245112,3.414214,2.792178,3.548107,1.914214,1.474368,2.008891,0.688982,1.066947,0.188982,0.566947,0,0,0.29,6.854753,4.29,3.29,2.29,31.7724,0,0,0,0,0,0,0,0,0,11.60094,6.923737,6.420822,5.880003,0,0,11.60094,0,0,0,13.34456,5.880003,0,0,0,0,0,0,11.60094,5.880003,0,0,13.34456,0,0,0,0,0,0,0,0,0,0,12.30083,0,0,6.923737,0,11.60094,0,5.185957,0,0,0,0.791667,0,1.084877,2.048611,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.6352,21.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-decanol,8.507013,0.37,8.507013,0.37,0.53804,158.285,136.109,158.1671,68,0,0.043052,-0.39638,0.396377,0.043052,0.727273,1.181818,1.636364,16.24993,10.0901,1.888086,-1.98296,2.070505,-1.83183,4.441733,0.282005,2.690916,53.89312,8.363961,7.811175,7.811175,5.414214,5.023335,5.023335,3.198481,3.198481,2.011667,2.011667,1.245687,1.245687,-0.04,292.8861,10.96,9.96,9.96,70.81796,5.106527,0,0,0,0,0,0,0,0,0,51.86949,6.420822,6.606882,0,5.106527,0,0,0,0,58.29031,6.606882,0,0,0,0,0,0,0,11.71341,0,0,58.29031,0,0,0,0,20.23,0,0,0,0,6.606882,6.420822,44.94575,0,0,6.923737,5.106527,0,0,0,8.507013,0,0,0,10.38116,2.611826,0,1,11,1,1,0,0,0,0,0,0,1,1,1,8,0,0,0,0,3.1194,49.6958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.37
1-fluorooctane,11.50232,-0.13281,11.50232,0.132813,0.486222,132.222,115.086,132.1314,56,0,0.089401,-0.25111,0.251109,0.089401,0.888889,1.444444,2,19.14117,10.12929,1.865371,-1.94602,2.037415,-1.78466,4.411977,0.450737,2.595083,37.83229,6.949747,6.327712,6.327712,4.414214,3.974368,3.974368,2.456749,2.456749,1.487184,1.487184,0.874821,0.874821,-0.07,103.6879,8.93,7.93,7.93,57.45938,0,0,0,0,0,0,4.390415,0,0,0,39.02785,6.420822,0,6.674591,4.390415,0,0,0,0,45.44867,6.674591,0,0,0,0,4.390415,0,0,6.674591,0,0,45.44867,0,0,0,0,0,0,4.390415,0,6.674591,0,12.84164,25.68329,0,0,6.923737,0,11.50232,0,0,0,0,0,0,6.940858,2.056824,0,1,9,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3.3164,39.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1-heptanol,8.365587,0.364796,8.365587,0.364796,0.544191,116.204,100.076,116.1201,50,0,0.043052,-0.39638,0.396377,0.043052,1,1.625,2.125,16.24992,10.15693,1.835549,-1.9302,1.999292,-1.81237,4.386296,0.282261,2.53006,29.36807,6.242641,5.689854,5.689854,3.914214,3.523335,3.523335,2.13782,2.13782,1.261667,1.261667,0.715357,0.715357,-0.04,61.49961,7.96,6.96,5.96,51.72314,5.106527,0,0,0,0,0,0,0,0,0,32.60702,6.420822,6.606882,0,5.106527,0,0,0,0,39.02785,6.606882,0,0,0,0,0,0,0,11.71341,0,0,39.02785,0,0,0,0,20.23,0,0,0,0,6.606882,6.420822,25.68329,0,0,6.923737,5.106527,0,0,0,8.365587,0,0,0,6.076219,2.558194,0,1,8,1,1,0,0,0,0,0,0,1,1,1,5,0,0,0,0,1.9491,35.8448,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.37
1-hexanol,8.292883,0.361111,8.292883,0.361111,0.533928,102.177,88.065,102.1045,44,0,0.043052,-0.39638,0.396377,0.043052,1.142857,1.857143,2.285714,16.24992,10.19934,1.804204,-1.899,1.954884,-1.79981,4.352979,0.282705,2.447473,23.36099,5.535534,4.982748,4.982748,3.414214,3.023335,3.023335,1.784267,1.784267,1.011667,1.011667,0.53858,0.53858,-0.04,35.50961,6.96,5.96,5.96,45.3582,5.106527,0,0,0,0,0,0,0,0,0,26.1862,6.420822,6.606882,0,5.106527,0,0,0,0,32.60702,6.606882,0,0,0,0,0,0,0,11.71341,0,0,32.60702,0,0,0,0,20.23,0,0,0,0,6.606882,6.420822,19.26246,0,0,6.923737,5.106527,0,0,0,8.292883,0,0,0,4.681944,2.525173,0,1,7,1,1,0,0,0,0,0,0,1,1,1,4,0,0,0,0,1.559,31.2278,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.37
1-hexene,3.598194,1.177083,3.598194,1.177083,0.363506,84.162,72.066,84.0939,36,0,-0.03535,-0.10308,0.103083,0.035351,1.666667,2.333333,2.5,13.77433,10.2509,1.708892,-1.8149,1.908998,-1.61447,4.636932,0.815753,2.488404,29.01955,4.828427,4.405777,4.405777,2.914214,2.523603,2.523603,1.430904,1.430904,0.761802,0.761802,0.348462,0.348462,-0.26,20.9863,5.74,4.74,3.74,39.87436,0,0,0,0,0,0,0,0,0,6.578936,25.8414,6.420822,0,0,0,0,0,0,0,26.1862,0,12.65496,0,0,0,0,0,0,0,0,0,26.1862,12.65496,0,0,0,0,0,0,0,0,0,0,19.26246,0,6.07602,13.50267,0,0,0,0,0,0,0,0,5.717778,5.782222,0,0.666667,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.3626,29.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1-hexyne,4.964583,0.940972,4.964583,0.940972,0.351804,82.146,72.066,82.07825,34,0,0.008591,-0.12011,0.120109,0.008591,1.666667,2.333333,2.5,13.76345,10.26166,1.71136,-1.7916,1.88139,-1.62417,4.818691,0.828327,2.543858,47.54888,4.828427,4.198671,4.198671,2.914214,2.349335,2.349335,1.307678,1.307678,0.674668,0.674668,0.278839,0.278839,-0.44,20.9863,5.56,4.56,3.56,39.56319,0,0,0,0,0,0,0,0,0,12.34378,13.34456,6.420822,6.420822,0,0,0,0,0,0,26.1862,0,0,0,12.34378,0,0,0,0,0,0,12.34378,26.1862,0,0,0,0,0,0,0,0,0,0,6.420822,12.84164,0,0,12.84417,6.42335,0,0,0,0,0,2.568611,0,8.295139,2.13625,0,0.666667,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.8098,28.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.12
1-iodobutane,2.387439,1.31375,2.387439,1.31375,0.455509,184.02,174.948,183.9749,32,0,-0.00048,-0.08638,0.086376,0.000483,1.6,2.2,2.2,126.9127,10.39239,1.692854,-1.77313,1.896971,-1.63732,14.10876,0.907427,2.19061,11.11942,4.12132,3.499285,5.656783,2.414214,1.974368,3.49995,1.042536,2.121285,0.487184,1.249975,0.133631,0.896421,0.73,11.24511,5.73,4.73,4.73,47.09592,0,0,0,0,0,0,0,0,0,0,35.93543,10.84837,0,0,0,22.59087,0,0,0,19.76538,4.427552,0,0,0,0,0,0,22.59087,4.427552,0,0,19.76538,0,0,0,0,0,0,0,0,0,0,0,17.2692,0,0,29.51461,0,1.31375,2.387439,0,0,0,0,0,2.711806,2.207006,0,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2.2215,33.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-iodohexadecane,2.48271,1.343047,2.48271,1.343047,0.181103,352.344,319.08,352.1627,104,0,-0.00047,-0.08638,0.086376,0.000473,0.470588,0.764706,1.058824,126.9127,10.04599,1.92889,-2.02124,2.124999,-1.82853,14.10876,0.538623,2.846262,108.6936,12.6066,11.98457,14.14206,8.414214,7.974368,9.49995,5.285176,6.363925,3.487184,4.249975,2.289035,2.828409,0.73,6072.014,17.73,16.73,16.73,123.4752,0,0,0,0,0,0,0,0,0,0,112.9853,10.84837,0,0,0,22.59087,0,0,0,96.81524,4.427552,0,0,0,0,0,0,22.59087,4.427552,0,0,96.81524,0,0,0,0,0,0,0,0,0,0,0,94.31906,0,0,29.51461,0,1.343047,2.48271,0,0,0,0,0,20.50249,2.291758,0,1,17,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,6.9027,89.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1-iodopentane,2.410772,1.325,2.410772,1.325,0.371125,198.047,186.959,197.9905,38,0,-0.00047,-0.08638,0.086376,0.000473,1.333333,2,2.166667,126.9127,10.27899,1.760547,-1.84591,1.955552,-1.6953,14.10876,0.784744,2.339092,15.90013,4.828427,4.206392,6.36389,2.914214,2.474368,3.99995,1.396089,2.474838,0.737184,1.499975,0.344491,0.883866,0.73,20.9863,6.73,5.73,4.73,53.46086,0,0,0,0,0,0,0,0,0,0,42.35625,10.84837,0,0,0,22.59087,0,0,0,26.1862,4.427552,0,0,0,0,0,0,22.59087,4.427552,0,0,26.1862,0,0,0,0,0,0,0,0,0,0,0,23.69002,0,0,29.51461,0,1.325,2.410772,0,0,0,0,0,4.155756,2.228472,0,1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2.6116,38.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1-iodopropane,2.351389,1.289444,2.351389,1.289444,0.41557,169.993,162.937,169.9592,26,0,-0.00074,-0.08639,0.086387,0.000735,1.75,2,2,126.9127,10.59513,1.581386,-1.656,1.813325,-1.53633,14.10876,1.129264,1.974745,5.245112,3.414214,2.792178,4.949676,1.914214,1.474368,2.99995,0.688982,1.767731,0.188982,1.267731,0,0,0.73,6.854753,4.73,3.73,2.73,40.73097,0,0,0,0,0,0,0,0,0,0,29.51461,10.84837,0,0,0,22.59087,0,0,0,13.34456,4.427552,0,0,0,0,0,0,22.59087,4.427552,0,0,13.34456,0,0,0,0,0,0,0,0,0,0,0,10.84837,0,0,29.51461,0,1.289444,2.351389,0,0,0,0,0,1.306111,2.173056,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.8314,29.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-nitropropane,9.404861,-0.31944,9.404861,0.097222,0.368378,89.094,82.038,89.04768,36,0,0.203154,-0.26455,0.264549,0.203154,1.833333,2.333333,2.333333,16.62735,10.50837,1.853796,-1.79743,1.720764,-1.96196,4.176103,-0.47936,2.831257,52.75489,4.991564,3.677924,3.677924,2.770056,1.888483,1.888483,1.056341,1.056341,0.406181,0.406181,0.182574,0.182574,-0.6,14.83447,5.4,2.627273,3.4,36.12211,0,0,0,6.544756,0,0,10.11432,0,0,0,6.923737,0,11.34413,0,4.923311,0,0,0,0,13.34456,6.544756,10.11432,0,0,0,0,0,0,11.46807,0,10.11432,13.34456,0,0,0,0,43.14,0,10.11432,0,11.46807,6.420822,0,0,6.923737,0,0,0,0,0,9.085417,9.404861,0,0,0,0.631944,1.877778,0,1,6,0,3,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0.6731,22.1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-nonanol,8.468955,0.368827,8.468955,0.368827,0.544619,144.258,124.098,144.1514,62,0,0.043052,-0.39638,0.396377,0.043052,0.8,1.3,1.8,16.24993,10.10605,1.875028,-1.96993,2.053293,-1.82722,4.428013,0.282028,2.647605,44.68996,7.656854,7.104068,7.104068,4.914214,4.523335,4.523335,2.844927,2.844927,1.761667,1.761667,1.06891,1.06891,-0.04,175.0767,9.96,8.96,7.96,64.45302,5.106527,0,0,0,0,0,0,0,0,0,45.44867,6.420822,6.606882,0,5.106527,0,0,0,0,51.86949,6.606882,0,0,0,0,0,0,0,11.71341,0,0,51.86949,0,0,0,0,20.23,0,0,0,0,6.606882,6.420822,38.52493,0,0,6.923737,5.106527,0,0,0,8.468955,0,0,0,8.932334,2.598711,0,1,10,1,1,0,0,0,0,0,0,1,1,1,7,0,0,0,0,2.7293,45.0788,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.37
1-octanol,8.422782,0.367188,8.422782,0.367188,0.547048,130.231,112.087,130.1358,56,0,0.043052,-0.39638,0.396377,0.043052,0.888889,1.444444,2,16.24992,10.1274,1.858127,-1.95291,2.030495,-1.82101,4.410192,0.282099,2.595083,37.83229,6.949747,6.396961,6.396961,4.414214,4.023335,4.023335,2.491374,2.491374,1.511667,1.511667,0.892133,0.892133,-0.04,103.6879,8.96,7.96,7.96,58.08808,5.106527,0,0,0,0,0,0,0,0,0,39.02785,6.420822,6.606882,0,5.106527,0,0,0,0,45.44867,6.606882,0,0,0,0,0,0,0,11.71341,0,0,45.44867,0,0,0,0,20.23,0,0,0,0,6.606882,6.420822,32.10411,0,0,6.923737,5.106527,0,0,0,8.422782,0,0,0,7.495702,2.581516,0,1,9,1,1,0,0,0,0,0,0,1,1,1,6,0,0,0,0,2.3392,40.4618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.37
1-pentanol,8.197361,0.355,8.197361,0.355,0.513281,88.15,76.054,88.08882,38,0,0.043052,-0.39638,0.396377,0.043052,1.333333,2,2.166667,16.24992,10.26337,1.758518,-1.85482,1.888636,-1.78056,4.30416,0.283807,2.339092,15.90013,4.828427,4.275641,4.275641,2.914214,2.523335,2.523335,1.430714,1.430714,0.761667,0.761667,0.361803,0.361803,-0.04,20.9863,5.96,4.96,3.96,38.99325,5.106527,0,0,0,0,0,0,0,0,0,19.76538,6.420822,6.606882,0,5.106527,0,0,0,0,26.1862,6.606882,0,0,0,0,0,0,0,11.71341,0,0,26.1862,0,0,0,0,20.23,0,0,0,0,6.606882,12.84164,6.420822,0,0,6.923737,5.106527,0,0,0,8.197361,0,0,0,3.326944,2.475694,0,1,6,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1.1689,26.6108,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.37
1-pentene,3.550417,1.152778,3.550417,1.152778,0.435604,70.135,60.055,70.07825,30,0,-0.0356,-0.10308,0.103083,0.035604,1.8,2.4,2.4,13.68029,10.34416,1.612414,-1.72428,1.815872,-1.5203,4.625098,0.961097,2.401715,21.21928,4.12132,3.698671,3.698671,2.414214,2.023603,2.023603,1.07735,1.07735,0.492799,0.492799,0.204124,0.204124,-0.26,11.24511,4.74,3.74,3.74,33.50942,0,0,0,0,0,0,0,0,0,6.578936,19.42058,6.420822,0,0,0,0,0,0,0,19.76538,0,12.65496,0,0,0,0,0,0,0,0,0,19.76538,12.65496,0,0,0,0,0,0,0,0,0,6.420822,6.420822,0,6.07602,13.50267,0,0,0,0,0,0,0,0,4.309028,5.690972,0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.9725,25.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
